type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:4a3ce4ed;onz-g:GenderIdentity;"""Genderidentiteit""@nl";hriv:hasExactMeaning;;hrio:GenderIdentity;"""Gender Identity""@en";;;
standard;hrim:AB489D97;onz-g:GenderIdentity;"""Genderidentiteit""@nl";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:1158513A;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedAgenderPerson;"""Self-identified Agender Person""@en";;;
standard;hrim:147FA86A;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en";;;
standard;hrim:226F5CF2;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:378E7E1E;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:C4F4D535;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en";;;
standard;hrim:C88426BA;onz-g:GenderIdentityValue;"""Genderidentiteitswaarde""@nl";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedAgenderPerson;"""Self-identified Agender Person""@en";;;
standard;hrim:267fb4be;onz-g:Human;"""Mens""@nl";hriv:hasExactMeaning;;hrio:Person;"""Person""@en";;;
standard;hrim:639c6016;onz-g:IntersexPerson;"""Intersekse persoon""@nl";hriv:hasExactMeaning;;hrio:IndeterminateBiologicalPerson;"""Indeterminate Biological Person""@en";;;
standard;hrim:1B0A60F9;onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
